Agent,Author,Repo,CommitSha,smell_type,smell_name,Method,Line,File,Description
OpenAI_Codex,MontrealAI,AGI-Alpha-Agent-v0,702126ba848fcfab8db74221259669a69c41fe1f,implementation,Long statement,start,44,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/OpenAI_Codex/MontrealAI$AGI-Alpha-Agent-v0/702126ba848fcfab8db74221259669a69c41fe1f/alpha_factory_v1/backend/orchestrator_base.py,A line with 185 chars in start exceeds the maximum length of 120 characters.
OpenAI_Codex,Kiln-AI,Kiln,a3f2186179173c98282d0aeb2ef7ecacbf757ec8,implementation,Long statement,test_generate_chat_message_toolcall_thinking,202,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/OpenAI_Codex/Kiln-AI$Kiln/a3f2186179173c98282d0aeb2ef7ecacbf757ec8/libs/core/kiln_ai/adapters/fine_tune/test_dataset_formatter.py,A line with 255 chars in test_generate_chat_message_toolcall_thinking exceeds the maximum length of 120 characters.
OpenAI_Codex,Kiln-AI,Kiln,a3f2186179173c98282d0aeb2ef7ecacbf757ec8,implementation,Long statement,test_generate_chat_message_toolcall_thinking,213,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/OpenAI_Codex/Kiln-AI$Kiln/a3f2186179173c98282d0aeb2ef7ecacbf757ec8/libs/core/kiln_ai/adapters/fine_tune/test_dataset_formatter.py,A line with 459 chars in test_generate_chat_message_toolcall_thinking exceeds the maximum length of 120 characters.
Human,TobikoData,sqlmesh,66b42523a280513ab975472b1a1dc5af6f5e166f,design,Insufficient modularization,,1,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/TobikoData$sqlmesh/Human/TobikoData$sqlmesh/66b42523a280513ab975472b1a1dc5af6f5e166f/sqlmesh/core/loader.py,"Module 'loader' is insufficiently modularized with NOPM: 0, WMC: 104, NOM: 0."
Human,livekit,agents,a9cf16ebfb24b0351f099610b49675ea856ebdd2,implementation,Long statement,_sync_sentence,257,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/livekit$agents/Human/livekit$agents/a9cf16ebfb24b0351f099610b49675ea856ebdd2/livekit-agents/livekit/agents/pipeline/transcription/synchronizer.py,A line with 159 chars in _sync_sentence exceeds the maximum length of 120 characters.
Human,livekit,agents,a9cf16ebfb24b0351f099610b49675ea856ebdd2,implementation,Long statement,_sync_sentence,274,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/livekit$agents/Human/livekit$agents/a9cf16ebfb24b0351f099610b49675ea856ebdd2/livekit-agents/livekit/agents/pipeline/transcription/synchronizer.py,A line with 162 chars in _sync_sentence exceeds the maximum length of 120 characters.
Human,BerriAI,litellm,f5841eb84d56a41517fb7421fcb238019c8f8815,implementation,Long statement,test_completion_claude_3,392,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/BerriAI$litellm/Human/BerriAI$litellm/f5841eb84d56a41517fb7421fcb238019c8f8815/tests/local_testing/test_completion.py,A line with 354 chars in test_completion_claude_3 exceeds the maximum length of 120 characters.
Human,huggingface,huggingface_hub,bebc1f7a3a79f70b8bbd1e70b33643be990a8a22,implementation,Long statement,delete_folder,5144,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/huggingface$huggingface_hub/Human/huggingface$huggingface_hub/bebc1f7a3a79f70b8bbd1e70b33643be990a8a22/src/huggingface_hub/hf_api.py,A line with 2586 chars in delete_folder exceeds the maximum length of 120 characters.
Human,huggingface,huggingface_hub,bebc1f7a3a79f70b8bbd1e70b33643be990a8a22,implementation,Long statement,delete_folder,5184,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/huggingface$huggingface_hub/Human/huggingface$huggingface_hub/bebc1f7a3a79f70b8bbd1e70b33643be990a8a22/src/huggingface_hub/hf_api.py,A line with 386 chars in delete_folder exceeds the maximum length of 120 characters.
OpenAI_Codex,OEvortex,Webscout,78865d826f7c2dfa38edd855ab5bec9b29964f48,implementation,Magic number,rainbow,144,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/OpenAI_Codex/OEvortex$Webscout/78865d826f7c2dfa38edd855ab5bec9b29964f48/webscout/Litlogger/styles/colors.py,Magic number 255 used in rainbow.
OpenAI_Codex,OEvortex,Webscout,78865d826f7c2dfa38edd855ab5bec9b29964f48,implementation,Magic number,rainbow,145,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/OpenAI_Codex/OEvortex$Webscout/78865d826f7c2dfa38edd855ab5bec9b29964f48/webscout/Litlogger/styles/colors.py,Magic number 255 used in rainbow.
OpenAI_Codex,OEvortex,Webscout,78865d826f7c2dfa38edd855ab5bec9b29964f48,implementation,Magic number,rainbow,145,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/OpenAI_Codex/OEvortex$Webscout/78865d826f7c2dfa38edd855ab5bec9b29964f48/webscout/Litlogger/styles/colors.py,Magic number 127 used in rainbow.
OpenAI_Codex,OEvortex,Webscout,78865d826f7c2dfa38edd855ab5bec9b29964f48,implementation,Magic number,rainbow,146,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/OpenAI_Codex/OEvortex$Webscout/78865d826f7c2dfa38edd855ab5bec9b29964f48/webscout/Litlogger/styles/colors.py,Magic number 255 used in rainbow.
OpenAI_Codex,OEvortex,Webscout,78865d826f7c2dfa38edd855ab5bec9b29964f48,implementation,Magic number,rainbow,146,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/OpenAI_Codex/OEvortex$Webscout/78865d826f7c2dfa38edd855ab5bec9b29964f48/webscout/Litlogger/styles/colors.py,Magic number 255 used in rainbow.
OpenAI_Codex,OEvortex,Webscout,78865d826f7c2dfa38edd855ab5bec9b29964f48,implementation,Magic number,rainbow,147,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/OpenAI_Codex/OEvortex$Webscout/78865d826f7c2dfa38edd855ab5bec9b29964f48/webscout/Litlogger/styles/colors.py,Magic number 255 used in rainbow.
OpenAI_Codex,OEvortex,Webscout,78865d826f7c2dfa38edd855ab5bec9b29964f48,implementation,Magic number,rainbow,148,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/OpenAI_Codex/OEvortex$Webscout/78865d826f7c2dfa38edd855ab5bec9b29964f48/webscout/Litlogger/styles/colors.py,Magic number 255 used in rainbow.
OpenAI_Codex,OEvortex,Webscout,78865d826f7c2dfa38edd855ab5bec9b29964f48,implementation,Magic number,rainbow,149,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/OpenAI_Codex/OEvortex$Webscout/78865d826f7c2dfa38edd855ab5bec9b29964f48/webscout/Litlogger/styles/colors.py,Magic number 75 used in rainbow.
OpenAI_Codex,OEvortex,Webscout,78865d826f7c2dfa38edd855ab5bec9b29964f48,implementation,Magic number,rainbow,149,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/OpenAI_Codex/OEvortex$Webscout/78865d826f7c2dfa38edd855ab5bec9b29964f48/webscout/Litlogger/styles/colors.py,Magic number 130 used in rainbow.
OpenAI_Codex,OEvortex,Webscout,78865d826f7c2dfa38edd855ab5bec9b29964f48,implementation,Magic number,rainbow,150,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/OpenAI_Codex/OEvortex$Webscout/78865d826f7c2dfa38edd855ab5bec9b29964f48/webscout/Litlogger/styles/colors.py,Magic number 148 used in rainbow.
OpenAI_Codex,OEvortex,Webscout,78865d826f7c2dfa38edd855ab5bec9b29964f48,implementation,Magic number,rainbow,150,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/OpenAI_Codex/OEvortex$Webscout/78865d826f7c2dfa38edd855ab5bec9b29964f48/webscout/Litlogger/styles/colors.py,Magic number 211 used in rainbow.
Human,exo-lang,exo,9ee8d9ae5425cec6aa03f9b451ad9ac9ab458fc2,implementation,Long statement,test_call_tensor1_read1,266,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/exo-lang$exo/Human/exo-lang$exo/9ee8d9ae5425cec6aa03f9b451ad9ac9ab458fc2/tests/test_typecheck.py,A line with 147 chars in test_call_tensor1_read1 exceeds the maximum length of 120 characters.
Human,pytorch,pytorch,d3524ecdd6b23b1283bd5fbbfcafc8f1bb311be7,implementation,Long statement,meta_sparse_structured_addmm,604,/home/gilberto/Documents/AI-DEV-Analysis/analysis_of_datasets/before_files_changed/Human/pytorch$pytorch/Human/pytorch$pytorch/d3524ecdd6b23b1283bd5fbbfcafc8f1bb311be7/torch/_meta_registrations.py,A line with 127 chars in meta_sparse_structured_addmm exceeds the maximum length of 120 characters.
